SRC_ID,DST_ID,TRACE_IDX,SECTOR_ID,ANTENNA_ID,ROLE,BSS_ID,Timestamp
1,2,0,1,1,1,1,1995505
2,1,0,1,1,0,1,1995512
1,2,10,1,1,1,1,1029477753
2,1,10,1,1,0,1,1029477763
1,2,20,1,1,1,1,2054308232
2,1,20,1,1,0,1,2054308245
1,2,30,1,1,1,1,3078317224
2,1,30,1,1,0,1,3078317240
1,2,41,1,1,1,1,4102323288
2,1,41,1,1,0,1,4102323308
1,2,51,1,1,1,1,5125477831
2,1,51,1,1,0,1,5125477854
1,2,61,1,1,1,1,6150308328
2,1,61,1,1,0,1,6150308353
1,2,71,2,1,1,1,7173477843
2,1,71,20,1,0,1,7173477868
1,2,81,3,1,1,1,8198328336
2,1,81,21,1,0,1,8198328362
1,2,92,4,1,1,1,9222323352
2,1,92,22,1,0,1,9222323380
1,2,102,4,1,1,1,10247157795
2,1,102,22,1,0,1,10247157824
1,2,112,5,1,1,1,11270328376
2,1,112,23,1,0,1,11270328407
1,2,122,5,1,1,1,12293477891
2,1,122,23,1,0,1,12293477924
1,2,133,4,1,1,1,13318037992
2,1,133,22,1,0,1,13318038030
1,2,143,5,1,1,1,14342108507
2,1,143,23,1,0,1,14342108555
1,2,153,5,1,1,1,15367142963
2,1,153,23,1,0,1,15367143013
1,2,163,5,1,1,1,16389996985
2,1,163,23,1,0,1,16389997037
