SRC_ID,DST_ID,TRACE_IDX,SECTOR_ID,ANTENNA_ID,ROLE,BSS_ID,Timestamp
2,4,0,1,1,0,2,0.00175154
4,2,0,1,1,0,2,0.00175157
1,3,0,1,1,0,1,0.00236954
3,1,0,1,1,0,1,0.00236957
2,4,10,21,1,0,2,1.02936
4,2,10,3,1,0,2,1.02936
1,3,10,1,1,0,1,1.02936
3,1,10,19,1,0,1,1.02936
1,3,20,1,1,0,1,2.05335
3,1,20,19,1,0,1,2.05335
2,4,20,22,1,0,2,2.0544
4,2,20,4,1,0,2,2.0544
2,4,30,23,1,0,2,3.07794
4,2,30,5,1,0,2,3.07794
1,3,30,1,1,0,1,3.07794
3,1,30,19,1,0,1,3.07794
1,3,41,1,1,0,1,4.10127
3,1,41,37,1,0,1,4.10127
2,4,41,25,1,0,2,4.1013
4,2,41,15,1,0,2,4.1013
1,3,51,1,1,0,1,5.12637
3,1,51,1,1,0,1,5.12637
2,4,51,31,1,0,2,5.12766
4,2,51,7,1,0,2,5.12766
1,3,61,1,1,0,1,6.15039
3,1,61,1,1,0,1,6.15039
2,4,61,10,1,0,2,6.15189
4,2,61,7,1,0,2,6.15189
1,3,71,1,1,0,1,7.17392
3,1,71,1,1,0,1,7.17392
2,4,72,34,1,0,2,7.27566
4,2,72,7,1,0,2,7.27566
1,3,81,3,1,0,1,8.19747
3,1,81,1,1,0,1,8.19747
2,4,81,25,1,0,2,8.19856
4,2,81,6,1,0,2,8.19856
2,4,92,25,1,0,2,9.2215
4,2,92,13,1,0,2,9.2215
1,3,92,1,1,0,1,9.22153
3,1,92,37,1,0,1,9.22153
